Symbol	E2.5_wt_male_IB118	E2.5_wt_male_IB119	E2.5_wt_male_IB22	E2.5_wt_male_IB23	E2.5_wt_male_IB25	E2.5_wt_male_IB26	E2.5_wt_female_IB120	E2.5_wt_female_IB121	E2.5_wt_female_IB122	E2.5_wt_female_IB123	E2.5_wt_female_IB124	E2.5_wt_female_IB24	E2.5_KO_male_IB27	E2.5_KO_male_IB28	E2.5_KO_female_IB125	E2.5_KO_female_IB126	E2.5_KO_female_IB127	E2.5_KO_female_IB128	E2.5_KO_female_IB29	E2.5_KO_female_IB30
Adat3	23.61765439	17.48545692	23.29052079	22.91998919	16.53048698	21.48515088	17.93537318	14.50395133	14.84021642	11.77665328	24.27455125	22.02114197	9.57972734	3.284222231	4.244801564	8.062048355	16.08588156	12.42569552	4.161483265	9.765370797
Adck1	5.828510773	14.38389722	10.3779338	9.529697604	8.330268104	10.26239685	2.459001269	11.30328879	8.029020794	6.13833837	0	13.58628392	10.26536359	5.673504674	5.892515858	12.34290216	10.96911045	4.284066865	21.82367711	5.744668714
Adck2	0.941636348	0	1.031770583	1.191939682	1.45901179	0.5526538	0.794537426	1.217416477	0.728221197	0.647635034	2.419567096	1.807612812	0.40204623	0	0	1.904794236	1.35019877	0.582838502	1.437959641	0
Adck3	3.679104429	8.272417143	9.256993693	3.449684767	13.80366063	6.477886233	3.909204707	0.396384652	2.054911224	2.03837804	2.653638124	6.502071728	2.792623372	4.547632549	0.734717248	1.343747983	13.04199757	0.379538541	5.330190305	0
Adck4	11.79292033	5.63287208	7.502950876	17.65640025	13.00820085	20.54080428	23.11124343	8.115206511	11.62082251	9.157455872	18.72672828	18.77830257	11.36973888	0	6.153508569	9.426720129	11.4549569	19.07259155	15.81914705	30.87348369
Adck5	4.91511952	0	3.889599247	3.110821927	7.703233982	5.769444835	17.5108132	4.501193922	10.61152364	1.549396769	10.19228396	13.02971699	10.14316781	3.189603046	2.94464848	7.042658287	7.635028863	3.549326008	3.656676659	10.24022984
Adcy1	0	0	0	0.286770173	0.029050375	0	0	0.219674749	0	0.023372291	0	0	0.174111797	0	0	0	0	0	0	0
Adcy10	0.159937178	0	0	0	0.683623533	0.375473565	0.719746068	0.206778504	0.494754236	0.770006848	0	0.175442003	0.409725938	0	0.574910252	0	0	0.197990541	0	0
Adcy2	0	0	0	0	0	0	0	0	0	0	0.214047118	0	0.675773739	0	0	0	0.567365643	0.857198896	0.743684368	0
Adcy3	3.522675512	13.56176475	3.087895216	10.40448264	19.53653695	13.23191069	4.359485195	5.692966321	9.262573331	5.875319694	5.716822934	21.6393801	4.21137051	5.29044458	2.532522202	4.275518056	4.293446545	2.507468579	3.144896543	4.268022549
Adcy4	0	0.484476774	0	0	0.052444698	0	0	0	0	0	0	0	0	0	0	0	0.175933485	0	0	0
Adcy5	0	0	0.601356405	0.416825547	0	0	0	0	0	0.169860206	0	0.18060818	0	0	0	0.083264165	0	0.407641395	0	0
Adcy6	0.829655859	0	0.303023742	2.333761844	1.595798581	0.973863136	2.489067066	1.877119816	0.3742785	1.141235046	0	2.123532529	0.354234425	1.845923678	0.248523444	1.81813005	1.0904956	0.855877783	1.039553485	1.967849901
Adcy7	0	0	0	0	0	0.308979747	0.296141964	0.340318871	0.050892078	0.407342485	0	0	0	0	0	0	0.566155622	0.977566567	0	0
Adcy8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592671345	0	0	0.063592067
Adcy9	10.65457196	16.97570962	14.88319999	10.41081891	12.94326199	12.94532939	9.042728433	14.86251234	3.686221549	12.14898734	15.2685904	13.12276264	22.50624487	12.06076639	10.75057663	10.58727117	6.566617651	14.80935486	11.85700605	12.07852616
Adcyap1r1	0.133447503	0	0	0.337840344	0	0.783213919	0.450403324	0.086265355	0.05160129	0.045891006	0.072189045	0.146384333	0	0	0	0	0.287022672	0.082599129	0	0
Add1	7.410936325	0	13.53386246	6.42764837	9.415034916	4.832818876	15.74886917	9.44832656	9.71137038	10.40650841	19.5994595	8.806824383	17.75475691	19.23692393	8.509793994	6.038143602	8.4125941	9.811294798	8.028396172	8.472232586
Add2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.485887601	0	0.495992014	0	0
Add3	0.506143839	0	0	0	0	0.396079749	0.569434579	0.545316539	1.239528187	0.174056834	0	0	1.584777004	2.439954977	2.122615687	0	0.967669795	0.417712729	0	0.843605812
Adh1	0	0	0	0	0	0.733074138	0	0	0	0	0	0	0	1.389516512	0	0	0	0	0	0
Adh4	0.634994481	0	0	0	0	0	0	0	0	0.218367034	0	0	0	0	0	0	0	0	3.580398102	0
Adh5	19.02083924	12.33867218	18.65813181	16.96848855	19.51230127	21.05113482	15.28521391	10.18792159	20.59386268	17.19359062	28.8103512	12.51886838	11.13770339	3.627426667	13.67446349	4.672135341	18.31234606	12.44595922	29.11029481	0
Adh6-ps1	0	0	0	0	0	0	0	0	0.115506222	0.205448224	0	0	0	0	0	0	0.214160696	0	0	0
Adhfe1	0	0	0	0	1.191157926	0.623077986	0	0.514706544	0.513136113	0	0	0.291136474	0.226639313	0	0	0	0.190281676	0.657109097	0	0
Adi1	75.60187421	104.0887502	90.46841663	60.02121972	85.03868613	63.05400427	59.87460114	51.44402282	41.92717236	76.79844719	92.01866456	67.65420691	49.26854524	47.03202307	105.4852195	52.82179211	44.21759908	68.65289506	36.10751328	70.78385466
Adipor1	56.39152565	86.14064063	68.5546302	49.67171099	69.75961019	49.76573748	100.4900108	48.69342606	59.52713567	45.57915536	94.85576314	53.73093361	57.29327622	41.6697054	77.67892487	94.71298774	86.46600546	57.32457112	93.41584139	70.92752449
