Symbol	E2.5_WT_male_XK122	E2.5_WT_male_XK126	E2.5_WT_male_XK129	E2.5_WT_male_XK134	E2.5_WT_male_XK26	E2.5_WT_male_XK28	E2.5_WT_male_XK35	E2.5_WT_male_XK36	E2.5_Xist_female_XK124	E2.5_Xist_female_XK125	E2.5_Xist_female_XK128	E2.5_Xist_female_XK130	E2.5_Xist_female_XK131	E2.5_Xist_female_XK29	E2.5_Xist_female_XK30	E2.5_Xist_female_XK31	E2.5_Xist_female_XK32	E2.5_Xist_female_XK33	E2.5_Xist_female_XK34
1700007L15Rik	39.2145618	12.43200639	4.410962257	0	16.48664904	7.368670814	5.399494394	12.53704845	21.87817148	21.51759844	3.283472751	20.01730751	0	5.199432556	3.770424925	14.76288139	15.12892795	11.42916771	0
1700007P06Rik	2.9661075	0.705248236	2.669087732	0	0	2.306279423	1.633625886	0.711207107	0	0	4.470390301	1.253021218	0	1.39830831	0	0.681335692	1.596726267	0.324179385	0.617718454
1700008J07Rik	0	1.193296255	1.129039476	2.551709715	1.012790036	1.482865597	0.737102031	3.429629586	0.479998652	0.734358828	2.689423405	2.968197056	1.743103413	2.129372873	0.849275812	1.767681375	1.188746949	1.097037967	2.299426465
1700016D06Rik	15.46227378	12.40801351	13.04429456	4.913505959	1.95020219	5.861017468	2.306434858	5.561267927	3.697091753	7.777342586	6.797022572	4.082487976	6.041654395	4.100265104	2.824684136	3.107818623	7.699431761	2.006806429	0
1700016K19Rik	13.25247813	23.31760482	10.73286256	0	0	5.152193173	2.676296624	2.542121387	10.13990637	13.57407676	16.42271143	20.71430463	11.96741748	1.874279705	9.785910685	2.232403916	0	4.49011327	0
1700017B05Rik	0	0.117636664	2.003438674	1.677005277	0	1.077136259	7.448106779	0.355891842	3.785510242	0	0	0.313509261	1.374698825	0.23324032	0	2.46237352	0	1.568137287	0
1700018B24Rik	0.724363938	1.205618721	2.607310628	1.841471224	2.923567201	1.520707271	0	0.564481071	2.771173225	4.239669247	0.727820221	0.153002443	0.251586202	0.085371494	1.671517756	0	0.31195388	0.712521277	0
1700019G17Rik	0	0.17706507	0.335060891	1.89315376	3.005619727	0.115806465	0	0.982086324	0.356118585	0	1.496494292	0.786482964	0.517294387	0.789907692	1.26018229	0	0	1.709210588	0
1700019L03Rik	0	1.386075937	2.622876661	4.939906887	0	9.065399235	4.94980516	2.795574683	12.54472894	6.930593646	0	0	3.543234926	4.379939903	4.147692517	5.802675079	0.156908145	3.822800721	4.552677203
1700020I14Rik	22.06293777	20.98352531	17.72642999	13.35433188	1.590126124	9.680269155	21.12042384	7.462968447	31.65202213	27.67143711	6.333774423	10.65189374	9.304953842	18.20193003	21.45564076	21.11671466	19.34255027	20.32431037	0
1700021F05Rik	176.6947892	193.9039973	236.0552485	158.9448047	164.5727416	171.8406743	126.7618495	184.6245735	215.7919996	411.6858115	121.5451664	141.8237229	259.6408825	252.1396689	269.5232415	312.2156317	97.46040181	446.5477164	219.0912531
1700021K19Rik	2.741276218	1.086317235	2.672334798	1.54863261	0.921993399	2.16698757	2.474389299	1.314595057	1.747867072	0.83565444	3.289925393	2.895105173	1.110783923	1.346162899	2.811411735	0	1.278935005	6.441540846	0
1700022A21Rik	11.80092908	1.603368228	2.654802214	0	0	1.441902459	0	0.707400578	9.67422697	1.233398253	2.258521312	0.356089939	3.513171962	0.794756726	0	0	4.356151552	0	0
1700025G04Rik	1.001068883	0.892586577	0.788220957	0.424151324	0.505045185	1.303778487	0.528379885	1.185168969	0.359039385	0.091550168	2.430793186	0.581484575	0.260768557	0.899621592	0.827761732	0.977298305	2.07476195	0.068382108	4.22175162
1700025N23Rik	2.706326466	0	1.217660312	2.293332604	0	1.893859388	0	1.946752049	0	0.990000372	2.266033024	1.143277675	0	0.956880049	0.416335169	0.414441445	2.622383916	0.295786734	0
1700028J19Rik	0	1.95592013	2.313246845	8.713504671	0	5.7565667	0	5.547505312	5.900707941	2.256900594	0	9.556529984	2.857103623	0.969509469	11.23122869	0	0	2.135296141	27.83896267
1700028K03Rik	0.750416991	1.784258526	0.337635906	0.635901017	0	0.700178776	0	0.224916788	2.870843458	5.215685941	1.130996378	3.170109016	0	0.088442033	0	0	3.393325555	0	0
1700029J07Rik	0.890914771	0.635495582	0.801700439	0.754958397	0	0.277090214	0	0.053405424	0.426042599	0.651810464	0	0.752727345	0.309432664	0.420002825	0	0	0	0	0
1700029P11Rik	14.30335824	46.47888913	19.30657503	10.10051762	14.43225801	7.414327987	20.78858071	14.29012327	18.23994877	21.80127771	32.73532551	55.89221063	13.24758594	15.45274064	4.950891947	7.848889584	18.99293421	12.76677934	45.17850408
1700030C10Rik	5.663820121	9.763433674	7.32644456	16.79826225	7.143577049	18.1659637	15.59714738	9.50641333	13.54242136	5.697670352	15.64982343	20.93577506	10.81937413	24.11422829	11.21810766	27.64665796	11.73853136	3.791526116	17.98800438
1700030J22Rik	1.643289446	0.976807974	0.739366948	0.696259175	0	1.91659505	0	1.477592013	1.571668423	0	0	2.776806362	1.4268689	1.065204067	0	0	3.361562927	0.08980129	0
1700030K09Rik	0	1.434905559	1.131365474	2.556966636	0	1.564126877	0.369310288	1.024979258	2.404937621	0.735871722	6.232104338	1.062254288	2.096033375	0.770524341	0	0	1.082905413	0	0
1700030L20Rik	22.30452614	1.178516342	4.460221733	4.200174637	0	4.817431383	2.957388046	4.308218282	2.370267454	1.813158041	1.660070488	5.234702857	6.886054823	0.876249548	1.525012477	1.707835354	0.800470488	1.489744147	1.54837245
1700034H15Rik	13.43112227	3.991879632	4.658206702	4.742287962	0	1.348924963	1.02741411	1.610243327	1.070478424	13.51139434	3.561235577	2.127723101	4.081787139	2.209540306	0.559599518	1.842563717	2.108835403	2.01842914	4.195727271
1700037C18Rik	2.225256584	2.645484496	0.500606017	1.885675487	0	1.90325867	0	2.000877789	11.70549128	1.62804072	0	3.290180146	0	5.900905682	0	5.793113137	0	0	0
1700037H04Rik	25.571623	20.11122468	19.02827272	15.00183246	7.939098683	7.188492695	15.52844117	8.961438789	0	8.634781645	35.57580549	18.69687382	50.55646012	8.92548307	0.907818668	6.32582582	11.64799589	3.977270929	31.54346184
1700042G15Rik	9.620124029	11.15091263	0.811573597	3.057023658	0	0.841507965	0	1.08126253	0	0.879783581	0.604126637	6.857976477	0	1.133800728	0	0	6.861832814	0	0
1700048O20Rik	1.320945061	1.884478242	5.051840701	0	0	2.156895415	3.031371988	1.979584177	0.631686537	0.966428934	2.875703814	0.837042583	1.376372565	1.011938623	0.812844854	0.809147582	2.702165438	2.382139586	0
1700052N19Rik	1.065985359	2.788040298	2.877719481	1.806625335	6.453551178	4.475793454	0	2.875497295	6.117153123	0	1.963631412	0.900643199	0.37023821	2.072961539	11.39722071	0	0	2.097115024	0
1700061G19Rik	3.977362888	1.891386716	5.368617199	0.842601226	7.023111025	5.489320794	0	3.516709115	2.853010316	8.729746657	0	5.040667028	4.834964155	7.910338329	3.977145575	11.95330157	1.177610012	0.489042098	0
1700063D05Rik	3.443027464	6.549159926	3.872812418	0	0	2.944816306	9.797531084	5.778933914	0	1.259492715	3.459455776	5.817977223	0	2.231820369	0.529667592	2.372662657	3.706927272	0.752608275	0
1700066M21Rik	2.435423817	0.772090853	1.461030398	2.751694059	0	2.019892746	0	2.092526465	0	0.890901565	1.223522188	2.057671692	0.845871799	0.047838699	4.55836474	2.237735715	0	0	0
1700080O16Rik	0	0	0	9.958804719	0	1.958116882	17.41466916	0	4.014294089	9.212314324	0	0	0	1.978692811	5.16553401	0	5.603476927	0	38.11118937
1700092M07Rik	0	3.054838413	4.335511586	10.88729478	0	0.998983139	0.589681625	1.15524365	0	0	5.37884681	2.713780165	0	5.299772483	3.952992869	0	0	5.616834393	0
1700095A21Rik	2.283542069	1.628866132	3.082309453	5.805199276	0	5.149108604	8.384621791	5.475429835	0	2.506025262	5.736094821	2.411684899	4.758721235	1.076527352	0.175647485	0.524545626	5.408854219	0.623946758	0
1700096K18Rik	1.684683556	5.207350504	5.684935827	2.855191179	0	0.523966312	0	3.332586927	0	1.84882057	6.77088791	4.625974471	0	2.779728839	0.129583962	6.191738021	3.62762103	1.47301385	0
1700101E01Rik	1.885024303	3.137401613	0	0	0	1.612258503	0	2.033942488	0	0	0.947009323	3.185286371	0	1.999472906	0	0	3.247211041	0	11.38462266
1700113A16Rik	0	11.2186843	3.351972335	2.104360131	0	3.475607667	12.53748317	4.019260715	0	0	7.901378223	3.147211992	4.312540692	5.999887755	0	0	6.684159299	4.478325488	0
1700123I01Rik	7.566976045	10.07547449	18.72539619	11.54201741	3.05406741	6.472023438	6.251429499	10.16060544	9.408330671	24.359042	8.363389832	14.70454969	34.16612369	36.11881078	15.83157714	5.446320707	4.562301315	16.29247608	24.5838924
1700123O20Rik	21.96866598	33.79890039	16.2801635	15.33097095	44.33328876	12.35904498	19.09831752	20.37322223	12.97749663	14.65452112	25.96881043	17.46933129	32.76480757	23.22633407	27.03688082	15.73275889	31.02652992	22.45693052	0
1700128F08Rik	4.39839004	3.660301882	0.494743064	0	6.657041531	3.419942279	2.018729886	3.823058565	2.103345443	1.608973577	6.629065258	1.858083717	0.763824775	4.795032247	2.537394071	3.199413278	6.629722542	3.124680394	2.748012366
1810009A15Rik	508.0676885	430.3596749	325.927077	164.8141698	160.2019751	185.7946203	222.985949	137.0513442	554.2571748	553.2122076	245.9401176	281.7036191	354.3029163	181.5095133	253.1040271	246.1782181	219.6586469	270.4871083	221.5389481
