Symbol	E3_wt_male_IB130	E3_wt_male_IB131	E3_wt_male_IB132	E3_wt_male_IB133	E3_wt_male_IB134	E3_wt_male_IB32	E3_wt_male_IB34	E3_wt_male_IB35	E3_wt_male_IB36	E3_wt_female_IB129	E3_wt_female_IB135	E3_wt_female_IB31	E3_wt_female_IB33	E3_KO_male_IB136	E3_KO_male_IB138	E3_KO_male_IB139	E3_KO_male_IB38	E3_KO_female_IB137	E3_KO_female_IB37	E3_KO_female_IB39	E3_KO_female_IB40	E3_KO_female_IB41
Mir1195	5.903526149	5.384563906	0	0	31.04461283	0	0	0	0	0	0	0	17.59318942	9.435644918	0	0	0	0	0	0	0	0
Mir1199	13.39455513	24.43415554	8.802440902	35.61869875	11.73955947	5.541565419	8.544825739	11.64121546	24.45274406	10.37245058	35.93196561	15.82492011	0	7.136202039	26.73949844	20.31032699	41.79335056	50.91915511	0	51.9372329	25.76847575	69.5666606
Mir150	0	7.455550024	0	0	0	0	0	0	0	0	0	0	0	13.06473912	0	0	0	0	51.15899493	47.54254396	7.862688756	19.59392334
Mir17hg	1.590090412	0	0.223918441	6.161319159	4.180869193	1.832578389	0	0	0.829379092	1.846996864	0	0	1.353900853	10.16580812	2.380718491	11.02205005	2.126297014	24.1787979	0	1.321190833	3.386771664	5.445083442
Mir181a-2	0	0	13.78276931	0	36.7633573	0	0	18.22769263	0	8.120536963	0	0	0	0	0	0	0	0	0	0	0	0
Mir181b-2	0	0	0	9.857267793	16.24427416	0	0	0	11.27859125	0	7.102830412	0	0	0	0	0	0	0	0	0	0	0
Mir1894	0	0	6.465990539	0	0	0	0	0	11.97480059	0	0	0	0	10.48404991	0	0	0	0	0	0	9.464347576	0
Mir192	0	0	0	0	0	0	0	0	0	0	0	0	17.7908657	0	0	0	0	22.69430509	0	0	2.871206568	7.155084366
Mir1932	0	0	17.45817446	0	0	0	0	30.78454756	10.77732053	6.857342325	0	0	0	0	0	0	0	0	0	0	2.839304273	0
Mir1934	0	0	0	0	0	67.53365567	0	0	11.68625118	7.4356724	0	4.537748176	0	0	0	0	0	0	0	0	0	0
Mir1949	7.590247906	0	97.26697197	24.22071515	99.78625553	18.84132242	9.684135837	59.37019886	96.99588477	105.7989959	17.45266901	21.52189135	22.61981497	84.92080426	11.36428684	46.03674119	0	115.4167516	47.504781	132.4399439	47.45694285	109.1661443
Mir1954	21.25269414	25.84590675	27.93307913	11.3030004	55.8803031	8.792617131	4.519263391	36.94145707	51.73113854	16.45762158	81.44578873	25.10887324	42.2236546	90.58219121	21.21333543	10.74190628	33.15605811	215.444603	0	0	57.92180717	50.94420069
Mir1956	0	0	0	0	64.4772728	0	0	0	0	0	0	0	0	0	0	0	0	31.07374081	0	0	19.65672189	19.59392334
Mir3057	5.838652236	0	5.755442128	0	0	3.623331235	0	0	0	0	26.85026002	0	17.39985767	0	0	0	0	0	36.54213923	0	0	0
Mir3064	0	0	0	88.56828674	0	0	0	0	0	0	0	0	0	0	0	24.0490439	74.22998084	60.29233292	49.63186075	0	7.627981629	0
Mir3068	0	18.40293993	6.629686502	0	0	12.52113199	0	17.53550177	0	0	0	0	0	0	10.06962125	10.19801229	0	0	0	0	0	0
Mir3091	6.991017808	12.75291451	6.891384654	11.15427671	55.14503595	0	13.3793982	0	0	24.36161089	0	9.911397331	0	22.34758007	20.93421259	21.20113081	0	0	43.75440356	0	10.08700202	8.378980376
Mir3096	0	0	0	0	0	3.264585568	0	13.71588752	0	6.110503062	0	0	0	0	0	0	0	0	0	0	5.060146229	0
Mir3112	0	0	0	10.33811012	0	0	0	0	11.82876644	0	52.14516961	4.593086568	19.30959814	10.35619564	19.40244094	0	30.3256629	0	0	0	28.04678611	0
Mir3470a	0	12.75291451	0	0	36.7633573	0	0	36.45538526	0	0	0	0	0	67.04274021	20.93421259	0	0	0	0	0	0	0
Mir3470b	9.660315517	8.811104573	19.04528122	0	12.70006889	20.98238179	6.162631896	25.18735709	0	28.05276406	11.10624392	6.847874519	14.39442771	7.720073115	28.92727558	0	0	18.36175593	0	0	11.61533566	11.57822743
Mir466i	0	0	4.328473006	0	23.09103434	10.89993859	0	11.44879868	16.03237765	5.100502556	25.24146345	6.225340472	0	0	0	19.97461911	0	0	0	0	4.223758422	5.262830649
Mir467f	0	0	0	0	0	0	0	0	19.79507852	0	12.46619215	7.686389767	0	17.33077638	0	16.44169328	0	0	0	0	0	0
Mir5123	6.401413897	0	12.62036708	0	33.66283319	0	0	0	0	7.4356724	0	0	0	0	9.584338296	9.706541817	0	0	0	0	0	0
Mir5133	6.900225369	0	0	0	0	4.282118733	0	0	0	0	0	4.891338942	0	0	10.33116985	10.46289572	0	26.23107991	0	0	0	0
Mir669i	0	0	8.247956436	6.675000238	0	77.88735647	0	0	0	19.43813572	0	0	0	40.120065	0	0	0	0	0	0	0	20.05677192
Mir669k	0	0	8.247956436	33.37500119	22.00011933	0	2.668856333	10.90791055	7.637471242	4.859533931	9.619581346	0	0	6.686677501	0	6.343645439	19.58034928	0	0	0	2.01210539	0
Mir680-2	0	0	0	0	0	0	0	0	0	6.708269665	13.27920468	8.187676056	0	0	8.646739984	0	0	0	0	0	2.777580267	0
Mir680-3	0	25.06607336	0	0	0	0	0	0	0	0	10.53178303	6.493674113	0	0	0	13.89039605	0	0	0	0	0	0
Mir682	0	0	0	0	0	0	3.530674524	14.43025667	0	0	0	3.923261443	0	0	0	0	0	0	0	0	7.985543267	26.53343786
Mir692-1	0	0	0	0	12.81658328	0	0	0	0	0	0	0	0	0	0	36.95609958	159.6966102	0	30.50765753	28.35105833	39.85445447	46.73779879
Mir706	0	5.769175613	0	0	16.63104259	0	0	0	0	0	0	0	18.84984581	10.10961955	0	9.590987747	0	0	0	0	0	0
Mir707	0	0	0	11.61267165	0	0	0	0	26.57421501	0	0	0	0	23.26597377	10.89726135	22.07241016	0	0	0	0	0	0
Mir713	0	0	0	0	12.93525535	0	0	12.82689481	8.981100442	0	11.3119151	0	29.32198236	0	0	0	0	0	0	0	0	0
Mir98	0	8.974273177	0	0	0	0	0	0	0	5.714451937	0	0	0	7.863037431	0	0	0	0	0	0	0	17.68895857
Mirlet7g	0	0	11.90330077	0	0	0	0	0	0	0	0	0	53.9791039	0	0	0	0	0	0	0	2.903833915	14.47278429
Mis12	13.44620923	26.98122044	19.12446443	22.67955612	39.39500761	7.152345822	18.99365037	17.02832891	14.37755342	16.06492345	15.0171194	9.123072163	6.869358124	28.24553142	9.203182398	20.0973843	3.596101747	14.6044335	8.415525196	3.351697785	9.515672672	6.676526663
Mis18bp1	12.03931254	10.37762068	14.21519683	73.88041847	80.00790408	12.56166354	8.524258014	14.48774773	17.63122407	34.73066307	25.09690327	11.53532648	25.23325972	55.61297689	28.5239072	60.98492608	16.71838089	64.87881392	18.21647479	14.62027933	14.57123034	12.36817621
Mitd1	23.34510747	6.30900897	13.21082363	32.41910205	20.460648	10.73142856	24.82101537	18.03488547	7.892260762	21.09093083	39.76197985	21.45184451	6.441769925	21.42021914	27.18551937	39.33163405	20.23355865	9.860666328	16.23434339	5.028910265	18.29722526	14.50811248
Mitf	0	0	0	0.163716692	0	0	0	0	0	0.119189032	0	0	0	0	0	0	0	0.78014413	0.642204455	0	0	0
Mixl1	0	0	0.686428878	0.370347326	0	2.88093615	0	0	2.966235008	0.269620275	0.533720765	0.329080907	0	0	0.347531708	0.703925706	3.259114493	2.647173202	1.452745596	1.350050397	0.111637127	3.894816566
