Symbol	E4_wt_male_IB57	E4_wt_male_IB58	E4_wt_female_IB155	E4_wt_female_IB156	E4_wt_female_IB157	E4_wt_female_IB158	E4_wt_female_IB59	E4_KO_male_IB161	E4_KO_male_IB162	E4_KO_male_IB60	E4_KO_male_IB62	E4_KO_male_IB63	E4_KO_male_IB64	E4_KO_female_IB159	E4_KO_female_IB160	E4_KO_female_IB163	E4_KO_female_IB61
Tfap2a	25.27831351	28.91275077	11.96940747	7.248028403	16.62285607	45.54498255	29.37798924	25.71750638	24.9841509	30.78579635	15.57526429	17.77920921	31.87939719	9.665224917	8.824250538	11.73547807	10.15949774
Tfap2b	0	0.129687402	0	0	0	0.116445785	0	0.164381182	0.347160261	0.090994998	0.107625934	0.159496374	0	0	0	0	0
Tfap2c	33.92699022	46.73662602	45.6616509	51.72748719	30.14887857	24.74214847	56.46365933	32.18795722	26.90211396	47.38828485	47.0814351	59.80490191	35.48132252	38.80533037	33.27929322	20.5890633	24.73551023
Tfap2e	0	0.783025214	0	0	0.346764887	0	0	0.496249474	0	1.648225881	0	0	0	1.721555632	2.208963533	0.266411559	0
Tfap4	0.781916976	1.961268785	0.430513472	0	1.389685311	0.704406072	0.987749427	0.497188895	0.210004849	0.275224341	0	0	0.316058921	0	0.368857533	1.868411211	0.748230649
Tfb1m	29.724568	10.56232924	11.59255955	8.878019798	23.66293434	26.22011672	14.08098265	31.89481671	24.94791484	24.84879671	24.74976961	23.68784196	22.02745877	9.106779791	16.35913573	22.40752871	23.70331877
Tfb2m	13.49828898	22.34596587	14.4923708	13.54623348	15.8935323	23.71241469	11.93611257	27.68019965	18.67044333	13.77853098	8.148399946	12.07553044	12.00352533	45.6559179	21.33150725	17.73998438	4.520865823
Tfcp2	1.552810687	1.038636828	0	1.484120102	1.609871196	1.165734672	1.307715877	1.645614248	1.251147308	2.368464101	0	1.596712607	7.950386905	1.332066255	1.220858343	1.413516967	2.476521557
Tfcp2l1	214.9451811	171.5780982	223.3463027	193.6829565	239.5530019	178.6252598	210.2874844	162.6838268	196.5477289	231.2394532	138.4578738	167.8009565	170.4521785	187.8618643	300.7442688	255.774294	228.7094107
Tfdp1	40.81882588	55.09296313	56.72090973	34.8331718	49.65979148	42.46346261	38.0591475	40.47746405	40.7196931	35.9192049	46.53017348	41.37326567	40.8556353	56.454535	47.2222262	47.77354755	36.27026066
