Symbol	troph_wt_male_IB178	troph_wt_male_IB179	troph_wt_male_IB182	troph_wt_male_IB82	troph_wt_male_IB83	troph_wt_female_IB180	troph_wt_female_IB181	troph_wt_female_IB84	troph_KO_male_IB183	troph_KO_male_IB184	troph_KO_male_IB190	troph_KO_male_IB85	troph_KO_male_IB86	troph_KO_male_IB88	troph_KO_male_IB90	troph_KO_male_IB91	troph_KO_male_IB93	troph_KO_female_IB186	troph_KO_female_IB187	troph_KO_female_IB189	troph_KO_female_IB191	troph_KO_female_IB87	troph_KO_female_IB94
Bche	0	0.216083886	0	0.873046593	2.145728856	0	1.14641417	0	0	0	0	0	0	0	0	1.391779856	0	0.497571027	0.287554689	0.755160988	0	0	0.452203778
Bckdha	19.31911274	15.13440325	17.13505523	18.34431911	22.54286035	4.12205799	9.033103528	19.0023441	18.52413848	6.865057919	16.25662629	2.258454972	28.23323669	31.42557531	1.322392063	0.649863593	27.43337946	1.742480828	9.063081537	6.611385468	15.27589322	2.214190408	6.334423589
Bckdhb	6.789510818	7.197772791	1.762002837	0	0	22.33679376	2.545810293	1.506221213	7.831019915	0	5.425607712	0	12.34707924	0	9.503628797	0.412091613	18.88715009	4.419768967	3.192823789	6.70786062	3.749710463	14.50864895	6.025178661
Bckdk	15.02245525	14.3229884	14.0824546	9.486780361	10.49225361	17.44139311	17.44018168	25.79608118	15.32763856	19.8815153	14.33636603	1.401554311	1.51043199	16.17248633	3.556156185	18.7531253	6.323435804	6.488103272	12.49861437	17.23218167	24.46433428	16.03098656	37.34471954
Bcl10	53.93031888	78.89904079	85.3750443	36.95963385	39.74139771	48.13130807	45.49912658	38.28540464	62.20321501	13.83153147	62.05908749	72.42518629	2.451877383	19.30347319	23.97887517	92.96224847	63.95762865	21.0642171	46.66457096	45.28949304	33.75591624	57.25066074	30.31075674
Bcl11a	0.17643616	0	0.468059468	1.545032435	0.949325244	0.047342226	0.253601453	0	0	0.578202826	0	0.380432347	2.951896841	0.193667452	0.111377185	0.246303581	0.396094235	0	0	0.668205013	0.373528233	0.186488034	0.400132999
Bcl11b	0.104173717	0.169337984	0.103634144	0	2.942692581	0	0.673805905	0.265770195	0.46059009	0	0.191467868	0	0.435724266	0	0.197282269	0.363564354	0	0.389930394	0	0.591795352	0	0	0
Bcl2	0.053339043	0.433522311	0	0	0	0.81579522	0.920005891	0	0.471662825	0	0.196070818	0	0	0.17564489	0	1.861522796	0.179616986	0	0	0.303011152	0	0.084566791	0.725793785
Bcl2l1	37.07369472	25.46390475	28.74346088	20.57643049	47.76215056	33.48624875	30.02144909	24.86694354	61.5648297	25.66796223	15.99535973	10.414516	33.48865339	44.70655082	2.636975822	8.990236514	38.68408987	22.15103949	48.94675626	57.34923772	36.84869413	14.07379019	29.60494787
Bcl2l11	2.212124844	0.932266621	1.956148475	0	1.983744858	0.725472386	2.119739601	0.418045911	0.724489831	0	0.602342631	0.132494232	0	6.475113819	2.172219958	4.689352209	3.31077218	5.520104541	1.595080759	3.723481893	1.907982513	0.909281886	0.55742173
Bcl2l12	9.981198754	11.23254291	3.819038708	5.042554696	0	10.815827	3.310737479	5.876364433	0	0	2.822325426	0	5.619931044	5.056612141	0.727008102	2.14364307	1.292741044	5.747755364	2.491293576	2.180834685	5.689095596	9.129673474	7.835534668
Bcl2l13	7.02390497	2.999539182	8.290283074	5.47313199	7.206204278	0.766653168	5.390155675	8.807907168	3.684521414	2.926041562	4.37617169	0	3.48560558	4.116292337	4.283611849	2.825261582	4.209379644	3.11927442	10.55856189	8.791912514	10.20745501	1.226858857	7.289657956
Bcl2l14	0	3.323944444	0	0	3.000637493	2.843156583	0.801586214	0	0	0	0	0	0	0.612146177	0.352042211	0	0	1.391629959	1.608492849	0	1.180652078	0	3.79423413
Bcl2l15	0	0.320512386	0	0	0	1.269757862	0.850225225	0	1.743552451	0	0	1.275438976	0	0	0	0.550505566	0	0	0.426523426	2.240226743	0.41743074	0	1.341487461
Bcl2l2	5.96192111	14.73079001	4.744832836	3.132474024	8.661187101	19.1967871	7.712459094	3.042035907	7.38075324	9.378212609	12.27275286	0.771307072	0	1.570603309	0.677434593	10.81963735	8.833668216	3.570550139	4.642832582	11.51538685	2.776800901	8.885230709	1.62249827
Bcl3	1.349376063	0	0	2.954085176	0	0.181035641	1.939532856	8.032632581	1.988694976	2.211035003	3.306811807	0	0	0	0	0	6.058622877	1.683606816	0.972984775	1.277600701	0.952242548	0	3.060199734
Bcl6	0.879387901	0.408421567	0	0	12.16696846	0	1.083422463	0.641003731	0	0	3.694368137	5.282103365	7.881834145	8.273756547	12.60921966	6.488843463	12.26825024	0.940462255	1.087017999	3.568336814	3.723456783	6.572809061	7.692419879
Bcl6b	0	0.587418935	0.718995904	0	0.972185528	0	0	0.614622666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl7a	0.108344494	0	0	0	0.874430984	0.087214597	0	0.552821542	0	1.065174384	0	0	0	0	0	0	0	0.811083882	0	0	0	0	0.737131335
