Symbol	E3.5_WT_male_XK144	E3.5_WT_male_XK145	E3.5_WT_male_XK146	E3.5_WT_male_XK149	E3.5_WT_male_XK49	E3.5_WT_male_XK53	E3.5_WT_male_XK55	E3.5_WT_male_XK56	E3.5_Xist_female_XK147	E3.5_Xist_female_XK148	E3.5_Xist_female_XK50	E3.5_Xist_female_XK51	E3.5_Xist_female_XK52	E3.5_Xist_female_XK54
1700029P11Rik	11.3546431	0	18.70829666	40.84204643	16.58732616	34.46041613	15.46486548	22.92105167	43.95082715	40.24238021	118.0709125	26.05584808	10.16791157	18.67951447
1700030C10Rik	27.9990187	64.15104978	19.03363218	24.92530082	14.28588276	24.81014281	17.6991364	17.46748096	22.16665969	6.76490566	37.943187	20.52982206	18.49569064	12.94419564
1700034H15Rik	0.565420934	6.71408853	1.130577967	2.634028116	1.070837012	1.0622897	1.593856032	1.116774917	0.905058178	0.356493882	0.603568042	1.123481533	3.132891597	0.313221701
1700034O15Rik	0	0	7.423224938	38.45382455	4.011401954	0.481024361	0	3.585846293	12.57349325	3.497585053	5.466134742	7.348367742	6.147401324	0
1700034P13Rik	0	0.515867931	9.775814644	2.307154748	0.852681827	1.192901779	0.258530418	0.29642036	0	1.3877968	0	1.822336177	4.791305048	0
1700037H04Rik	27.53971602	0	3.056828297	10.18420121	9.238646125	6.318822834	9.025857298	8.921273513	9.161843403	28.19346662	17.1350771	5.704015025	5.243725546	5.137744512
1700042G15Rik	0	0.189829234	0	20.26250133	3.137701106	2.458200356	3.805363991	1.308922218	0.233371257	5.106818767	6.285112517	2.950568742	0	0
1700048O20Rik	0.1906591	2.08524537	1.642218146	4.352132819	1.148905708	1.928782747	1.46304714	0.718915612	0.683612774	0.280488152	0.986300124	1.178601839	2.464948258	0
1700052K11Rik	6.132696513	0.79849429	0.314423864	0.476155435	0.879891317	0.886296855	0.960408898	0.367055132	0.130886491	1.503686172	1.930363332	0	0.269683523	0.566213451
1700052N19Rik	7.077532206	0	9.608051841	8.730112366	13.35098671	10.42856614	8.939281916	11.98987994	3.654790915	9.506711093	6.013703	22.82678985	13.07176055	17.10327264
